StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Consent:,I am,I am,"What is your high school Grade Point Average (GPA) on a 4.0 scale? If your school used a 5.0 scale, multiply your GPA by 0.8 to put it on a 4.0 scale.",What is your classification?,I am,I consider my family,"On average, how many hours do you study each week (including the time doing homework)?","On average, how many hours of sleep do you get each night?","On average, how many hours do you work each week?","On average, how many hours do you spend engaging in extracurricular activities (e.g. clubs, organizations, sports, band, etc.) each week?","On a scale from 1-5, how would you describe your time management skills?",Do you believe your class/university provides sufficient resources to help you with your coursework?,Do you believe your professors give you enough time to complete your assignments?,"During your time in college, have you ever used generative AI tools (e.g. ChatGPT, Gemini, Preplexity, Claude, Copilot, etc.) to cheat on an assignment or a test where AI tools were not allowed per the course policy?","During your time in college, have you ever paid other individuals (e.g. peers, former students, tutors, etc.) for assignment or test answers?","During your time in college, have you ever used paid or unpaid online services (e.g. Chegg, Numerade) to access assignment or test answers?","During your time in college, have you ever used a group chat (e.g. GroupMe) to cheat on an assignment or test? [Note: collaboration on assignments where permitted by the course policy is NOT considered cheating.]","During your time in college, how often have you seen other students use generative AI tools (e.g. ChatGPT, Gemini, Preplexity, Claude, Copilot, etc.) to cheat on assignments or tests where AI tools were not allowed per the course policy?","During your time in college, how often have you seen other students cheat on assignments or tests by seeking help from peers, former students, or tutors?","During your time in college, how often have you seen other students use online services (e.g. Chegg, Numerade) to cheat on assignments or tests?","During your time in college, how often have you seen other students use group chats (e.g. GroupMe) to cheat on assignments or tests? [Note: collaboration on assignments where permitted by the course policy is NOT considered cheating.]"
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID29""}","{""ImportId"":""QID35""}","{""ImportId"":""QID31""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID50""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}"
2025-02-10 22:53:22,2025-02-10 22:53:42,Survey Preview,100,20,True,2025-02-10 22:53:43,R_6jfrIFSvykLuuLT,preview,EN,I don't consent to participate in this study,,,,,,,,,,,,,,,,,,,,,
2025-02-10 22:53:48,2025-02-10 22:55:20,Survey Preview,100,91,True,2025-02-10 22:55:20,R_6eKk9SSJtXSd6Sd,preview,EN,I voluntarily consent to participate in this study,Male,a first-generation college student,Don’t know,Junior,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Working Class,16 – 20 hours,4 – 6 hours,11 – 15 hours,More than 20 hours,Poor (1),Yes,No,No,Yes,Yes,No,Often,Very Often,Sometimes,very Often
2025-02-11 08:15:06,2025-02-11 08:17:45,IP Address,100,158,True,2025-02-11 08:17:46,R_5RebDS9pirX0HZv,email,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,2.00 – 2.99,Sophomore,"a Science, Technology, Engineering, or Mathematics (STEM) major",Lower Middle Class,1 – 5 hours,4 – 6 hours,16 – 20 hours,1 – 5 hours,Fair,Yes,Yes,No,No,No,No,Sometimes,Rarely,Sometimes,Often
2025-02-11 09:37:42,2025-02-11 09:40:02,IP Address,100,140,True,2025-02-11 09:40:03,R_7IgteuofDPpcROr,email,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Junior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Upper Middle Class,1 – 5 hours,7 – 9 hours,0 hours (don’t work),6 – 10 hours,Good,Yes,Yes,No,No,No,No,,,,
2025-02-11 09:42:09,2025-02-11 09:44:17,IP Address,100,127,True,2025-02-11 09:44:18,R_6KygATqoFJTLMhr,email,EN,I don't consent to participate in this study,,,,,,,,,,,,,,,,,,,,,
2025-02-11 11:05:35,2025-02-11 11:08:22,IP Address,100,167,True,2025-02-11 11:08:23,R_3TRJkszr6XatIZQ,email,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,Below 1.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Upper Middle Class,1 – 5 hours,4 – 6 hours,0 hours (don’t work),0 hours (don’t engage in extracurricular activities),Poor (1),Yes,Yes,Yes,No,Yes,Yes,Very Often,Very Often,Very Often,very Often
2025-02-11 22:40:12,2025-02-11 22:48:06,IP Address,100,474,True,2025-02-11 22:48:07,R_6uWJNbJVeDB8B2c,email,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,2.00 – 2.99,Sophomore,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Upper Middle Class,16 – 20 hours,7 – 9 hours,0 hours (don’t work),11 – 15 hours,Excellent (5),Yes,Yes,Yes,No,Yes,Yes,Very Often,Very Often,Very Often,very Often
2025-02-11 23:35:16,2025-02-11 23:44:02,IP Address,100,525,True,2025-02-11 23:44:02,R_1fJczWkQDXjLmKj,email,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Senior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,11 – 15 hours,4 – 6 hours,More than 20 hours,0 hours (don’t engage in extracurricular activities),Okay,Yes,No,No,No,Yes,No,Often,Never,Never,Rarely
2025-02-12 11:06:44,2025-02-12 11:08:43,IP Address,100,119,True,2025-02-12 11:08:44,R_5OcXtz33wGsIj2F,email,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Sophomore,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,1 – 5 hours,4 – 6 hours,0 hours (don’t work),6 – 10 hours,Fair,No,Yes,No,No,No,No,Often,Sometimes,Often,Often
